ID,Ranking,JP,EN,JP Furigana,Pronounciation,Sentence JP,Sentence EN,Sentence Romaji,Sentence pronounciation,Explanation,Image
JPN1K-233,233,回,counter for occurrences,回[かい],かい,もう 一回[いっかい] ください ね。,"One more time, please.",Mou ikkai kudasai ne.,もう一回くださいね。,回 is a counter for times. 一回 means 'one time'; もう一回 means 'one more time'.,<img src='JPN1K-233.jpeg'>
JPN1K-234,234,息子,son,息子[むすこ],むすこ,息子はここにいます。,My son is here.,Musuko wa koko ni imasu.,息子はここにいます。,"Use imasu for people and animals (living things). For objects, use arimasu.",<img src='JPN1K-234.jpeg'>
JPN1K-235,235,おる,"to be (animate), to be, to exist",おる,おる,私[わたし]はここにおる。,I'm here.,Watashi wa koko ni oru.,私はここにおる。,"おる is a casual dialect form of いる, often heard in Kansai. Use it in friendly, informal situations.",<img src='JPN1K-235.jpeg'>
JPN1K-236,236,夢,dream,夢[ゆめ],ゆめ,いい 夢[ゆめ]を 見[み]た。,I had a good dream.,Ii yume o mita.,いい夢を見た。,"夢を見た literally means “saw a dream,” and it’s how you say “had a dream” in Japanese. This is casual past.",<img src='JPN1K-236.jpeg'>
JPN1K-237,237,物,"thing, object, article, stuff, substance",物[もの],もの,それは 私[わたし]の 物[もの]です。,That is mine.,Sore wa watashi no mono desu.,それは私の物です。,私の物 means 'my thing' and is used to say 'mine' politely.,<img src='JPN1K-237.jpeg'>
JPN1K-238,238,うわ,"Wow!, Holy smokes!, Aaargh!, O my God!, oops, eep",うわ,うわ,うわ、これすごいね。,"Wow, this is amazing.","Uwa, kore sugoi ne.",うわ、これすごいね。,Casual exclamation of surprise. Often used when seeing something unexpected or impressive.,<img src='JPN1K-238.jpeg'>
JPN1K-239,239,始める,"to start, to begin, to commence, to initiate, to originate",始[はじ]める,はじめる,今[いま] から 始[はじ]める ね。,I'll start now.,Ima kara hajimeru ne.,今から始めるね。,Casual plain form. ね softens the tone and sounds friendly.,<img src='JPN1K-239.jpeg'>
JPN1K-240,240,まさか,"by no means, never!, well, I never!, you don't say!, certainly (not)",まさか,まさか,まさか、 彼[かれ]が 来[く]るの。,"No way, he’s coming.","Masaka, kare ga kuru no.",まさか、彼が来るの。,まさか shows strong surprise or disbelief. Often used at the start in casual speech.,<img src='JPN1K-240.jpeg'>
JPN1K-241,241,らしい,"seeming ... (expresses judgment based on evidence, reason or trustworthy hearsay), appearing ...",らしい,らしい,彼[かれ]は 来[く]るらしい。,It seems he will come.,Kare wa kuru rashii.,彼は来るらしい。,らしい shows hearsay or a guess from evidence. Casual tone.,<img src='JPN1K-241.jpeg'>
JPN1K-242,242,つもり,"intention, plan",つもり,つもり,明日[あした]Tokyoに 行[い]くつもりです。,I plan to go to Tokyo tomorrow.,Ashita Tokyo ni iku tsumori desu.,明日Tokyoに行くつもりです。,つもり shows intention or plan. Use dictionary form + つもりです to be polite.,<img src='JPN1K-242.jpeg'>
JPN1K-243,243,とき,"time, hour, moment",とき,とき,彼[かれ]と 会[あ]うとき、 電話[でんわ]してください。,Please call when you meet him.,"Kare to au toki, denwa shite kudasai.",彼と会うとき、電話してください。,X とき means 'when'. Use the plain form before とき. ください makes a polite request.,<img src='JPN1K-243.jpeg'>
JPN1K-244,244,金,money,金[かね],かね,金[かね]を少しください。,Please give me a little money.,Kane o sukoshi kudasai.,金を少しください。,金 read as kane sounds blunt/casual. People often say お金 for a softer tone; ください makes this polite.,<img src='JPN1K-244.jpeg'>
JPN1K-245,245,見つける,"to discover, to find (e.g. an error in a book), to come across, to detect, to spot",見[み]つける,みつける,私[わたし]はここでそれを 見[み]つける。,I find it here.,Watashi wa koko de sore o mitsukeru.,私はここでそれを見つける。,Plain/casual form. で marks the place where you do something.,<img src='JPN1K-245.jpeg'>
JPN1K-246,246,初めて,for the first time,初[はじ]めて,はじめて,ここは初めてです。,It’s my first time here.,Koko wa hajimete desu.,ここは初めてです。,Polite. Common when visiting a place for the first time.,<img src='JPN1K-246.jpeg'>
JPN1K-247,247,いつ,"when, how soon",いつ,いつ,いつ 映画[えいが]を 見[み]ますか。,When will we watch a movie?,Itsu eiga o mimasu ka.,いつ映画を見ますか。,Use いつ to ask about time. Polite questions often end with か.,<img src='JPN1K-247.jpeg'>
JPN1K-248,248,起きる,"to get up, to rise",起[お]きる,おきる,私[わたし]は 六時[ろくじ]に起きるよ。,I get up at six.,Watashi wa rokuji ni okiru yo.,私は六時に起きるよ。,Dictionary form can express a routine. The final yo makes it casual and adds emphasis.,<img src='JPN1K-248.jpeg'>
JPN1K-249,249,本,"book, volume, script",本[ほん],ほん,この 本[ほん] を ください。,"This book, please.",Kono hon o kudasai.,この本をください。,Polite request used in shops. Put the item + を before ください to ask for it.,<img src='JPN1K-249.jpeg'>
JPN1K-250,250,とる,"to take, to pick up, to harvest",とる,とる,これをとるよ。,I'll take this.,Kore o toru yo.,これをとるよ。,Casual. Said when choosing or picking something up.,<img src='JPN1K-250.jpeg'>
JPN1K-251,251,結婚,marriage,結婚[けっこん],けっこん,私[わたし]は結婚したいです。,I want to get married.,Watashi wa kekkon shitai desu.,私は結婚したいです。,〜たい expresses a simple desire to do something. This is polite and common.,<img src='JPN1K-251.jpeg'>
JPN1K-252,252,大変,"hard, very, greatly",大変[たいへん],たいへん,仕事[しごと]は大変です。,Work is hard.,Shigoto wa taihen desu.,仕事は大変です。,"Here, 大変 means tough or hard about a situation. This is polite with です.",<img src='JPN1K-252.jpeg'>
JPN1K-253,253,では,"then, well, so, well then",では,では,では、ここで 少[すこ]し 待[ま]ちましょう。,"Well then, let's wait here a little.","De wa, koko de sukoshi machimashou.",では、ここで少し待ちましょう。,では is a polite transition like “well then.” It’s common at the start of a suggestion.,<img src='JPN1K-253.jpeg'>
JPN1K-254,254,愛す,to love,愛[あい]す,あいす,私[わたし]は 君[きみ]を 本当[ほんとう]に愛す。,I truly love you.,Watashi wa kimi o hontou ni aisu.,私は君を本当に愛す。,"愛す is a literary/poetic form of 愛する. In daily speech, 愛してる is more common.",<img src='JPN1K-254.jpeg'>
JPN1K-255,255,覚える,"to memorize, to memorise, to commit to memory, to learn by heart, to bear in mind, to remember",覚[おぼ]える,おぼえる,あなたの 名前[なまえ]を 覚[おぼ]える よ。,I’ll remember your name.,Anata no namae o oboeru yo.,あなたの名前を覚えるよ。,Casual plain form. よ adds friendly assurance.,<img src='JPN1K-255.jpeg'>
JPN1K-256,256,元気,"health(y), robust, vigor, vigour, energy, vitality, vim, stamina, spirit, courage, pep",元気[げんき],げんき,今日[きょう]はすごく 元気[げんき]です。,I feel very energetic today.,Kyou wa sugoku genki desu.,今日はすごく元気です。,元気 is used to talk about how well/energetic you feel. It’s common in greetings like 元気ですか。,<img src='JPN1K-256.jpeg'>
JPN1K-257,257,がる,"to show signs of being, to feel, to think",がる,がる,子供[こども]はとても 怖[こわ]がるよ。,Kids get really scared.,Kodomo wa totemo kowagaru yo.,子供はとても怖がるよ。,"がる attaches to adjectives to show someone appears to feel that way. Use it for others’ feelings, not your own.",<img src='JPN1K-257.jpeg'>
JPN1K-258,258,続ける,"to continue, to keep up, to keep on",続[つづ]ける,つづける,明日[あした] も 続ける よ。,I’ll continue tomorrow too.,Ashita mo tsuzukeru yo.,明日も続けるよ。,Casual plain form. も adds the meaning of “also/too.”,<img src='JPN1K-258.jpeg'>
JPN1K-259,259,人生,(human) life,人生[じんせい],じんせい,人生の 話[はなし]をしましょうか。,Shall we talk about life?,Jinsei no hanashi o shimashou ka.,人生の話をしましょうか。,"しましょうか is a polite way to make a suggestion. 人生 refers to life as a whole, not just daily living.",<img src='JPN1K-259.jpeg'>
JPN1K-260,260,なあ,"hey, say, look, used to get someone's attention or press one's point",なあ,なあ,今日[きょう]は 最高[さいこう]だなあ。,Today is the best.,Kyo wa saiko da naa.,今日は最高だなあ。,Sentence-final なあ shows you strongly feel or admire something. Very casual.,<img src='JPN1K-260.jpeg'>
JPN1K-261,261,意味,"meaning, significance",意味[いみ],いみ,意味[いみ]が 分[わ]かりません。,I don't understand the meaning.,Imi ga wakarimasen.,意味が分かりません。,Polite and common in class or conversation. Use it when you don't understand a word or phrase.,<img src='JPN1K-261.jpeg'>
JPN1K-262,262,店,shop,店[みせ],みせ,店[みせ] は どこ ですか。,Where is the shop?,Mise wa doko desu ka.,店はどこですか。,"",<img src='JPN1K-262.jpeg'>
JPN1K-263,263,黙る,to be silent,黙[だま]る,だまる,私[わたし]は少し 黙[だま]る。,I'll be quiet for a bit.,Watashi wa sukoshi damaru.,私は少し黙る。,Plain casual form. Used when you decide to stop talking for a moment.,<img src='JPN1K-263.jpeg'>
JPN1K-264,264,こいつ,"this fellow, this guy, this person",こいつ,こいつ,こいつは 俺[おれ]の 友達[ともだち]。,This guy is my friend.,Koitsu wa ore no tomodachi.,こいつは俺の友達。,"Very casual and can sound rude. Use with close friends or jokingly, not in polite situations.",<img src='JPN1K-264.jpeg'>
JPN1K-265,265,やつ,"fellow, guy, chap",やつ,やつ,あのやつは 友達[ともだち]だ。,That guy is my friend.,Ano yatsu wa tomodachi da.,あのやつは友達だ。,"やつ is very casual and can sound rude. Use it with friends or about someone, not in polite situations.",<img src='JPN1K-265.jpeg'>
JPN1K-266,266,まま,as it is,まま,まま,このままでいいですか。,Is it okay as it is?,Kono mama de ii desu ka.,このままでいいですか。,X ままで means keeping the current state. This is a polite way to ask if leaving it like this is fine.,<img src='JPN1K-266.jpeg'>
JPN1K-267,267,書く,"to write, to compose",書[か]く,かく,私[わたし]はここに 名前[なまえ]を書く。,I’ll write my name here.,Watashi wa koko ni namae o kaku.,私はここに名前を書く。,書く is the plain (casual) form. In polite speech you’d say 書きます.,<img src='JPN1K-267.jpeg'>
JPN1K-268,268,そういう,"such, like that, that sort of, very",そういう,そういう,そういうのは 好[す]きじゃない。,I don't like that kind of thing.,Sou iu no wa suki janai.,そういうのは好きじゃない。,"そういう modifies a noun to mean that kind or like that. Casual, often used about something just mentioned.",<img src='JPN1K-268.jpeg'>
JPN1K-269,269,乗る,"to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark",乗[の]る,のる,今日[きょう]バスに乗る。,I will take the bus today.,Kyou basu ni noru.,今日バスに乗る。,Casual style. Use particle ni before the vehicle with noru.,<img src='JPN1K-269.jpeg'>
JPN1K-270,270,など,"et cetera, etc., and the like, and so forth",など,など,本[ほん]などを 買[か]います。,I buy books and such.,Hon nado o kaimasu.,本などを買います。,など comes after a noun to mean 'and so on/and such.' This is polite ます form.,<img src='JPN1K-270.jpeg'>
JPN1K-271,271,所,"place, spot, scene, site",所[ところ],ところ,会[あ]う 所[ところ]はどこですか。,Where do we meet?,Au tokoro wa doko desu ka?,会う所はどこですか。,"所 means place. After a verb, it means 'place to do X', like 会う所 = place to meet.",<img src='JPN1K-271.jpeg'>
JPN1K-272,272,しれる,"to become known, to come to light, to be discovered",しれる,しれる,それはすぐにしれるよ。,People will find out soon.,Sore wa sugu ni shireru yo.,それはすぐにしれるよ。,Casual. Often used to warn that a secret or fact will come out soon.,<img src='JPN1K-272.jpeg'>
JPN1K-273,273,第一,"first, foremost, number one",第[だい],だい,第一は 彼[かれ]だ。,He is number one.,Daiichi wa kare da.,第一は彼だ。,Casual. '第一はXだ' states that X is the top or most important.,<img src='JPN1K-273.jpeg'>
JPN1K-274,274,一緒,together,一緒[いっしょ],いっしょ,私[わたし]たちは 一緒[いっしょ]です。,We are together.,Watashitachi wa issho desu.,私たちは一緒です。,"一緒 can be used as a noun with desu. For actions, you often say 一緒に (together) + a verb.",<img src='JPN1K-274.jpeg'>
JPN1K-275,275,警察,police,警察[けいさつ],けいさつ,警察[けいさつ]を 呼[よ]んでください。,Please call the police.,Keisatsu o yonde kudasai.,警察を呼んでください。,Polite request using kudasai. Common when asking for urgent help.,<img src='JPN1K-275.jpeg'>
JPN1K-276,276,言葉,"words, language, dialect",言葉[ことば],ことば,その 言葉[ことば]は 分[わ]かりますか。,Do you understand that word?,Sono kotoba wa wakarimasu ka.,その言葉は分かりますか。,Polite question. 言葉 can mean word(s) or a language depending on context.,<img src='JPN1K-276.jpeg'>
JPN1K-277,277,しかし,"however, but",しかし,しかし,行[い]きたい、しかし 時間[じかん]がありません。,"I want to go; however, I don’t have time.","Ikitai, shikashi jikan ga arimasen.",行きたい、しかし時間がありません。,しかし is a formal way to say however. It contrasts two sentences; でも is more casual.,<img src='JPN1K-277.jpeg'>
JPN1K-278,278,皆,"all, everyone, everybody",皆[みな],みな,皆は 元気[げんき]ですか。,Is everyone well?,Mina wa genki desu ka.,皆は元気ですか。,Polite way to ask about a group’s condition in general.,<img src='JPN1K-278.jpeg'>
JPN1K-279,279,気持ち,"feeling, sensation, mood",気持[きも]ち,きもち,今日[きょう]は 気持ち いい です。,I feel good today.,Kyou wa kimochi ii desu.,今日は気持ちいいです。,"Common phrase 気持ちいい means something feels good (weather, bath, etc.). This is the polite form with desu.",<img src='JPN1K-279.jpeg'>
JPN1K-280,280,父,father,父[ちち],ちち,父[ちち] は 家[いえ] に いる。,My father is at home.,Chichi wa ie ni iru.,父は家にいる。,Use 父 when talking about your own father to others. Use お父さん when addressing him or being more polite.,<img src='JPN1K-280.jpeg'>
JPN1K-281,281,理由,"reason, pretext, motive",理由[りゆう],りゆう,理由[りゆう]は 何[なん]ですか。,What’s the reason?,Riyuu wa nan desu ka.,理由は何ですか。,Polite way to ask for the reason. Common in daily conversation.,<img src='JPN1K-281.jpeg'>
JPN1K-282,282,きっと,"surely, undoubtedly, almost certainly, most likely",きっと,きっと,あなたはきっと 大丈夫[だいじょうぶ]です。,You will surely be okay.,Anata wa kitto daijobu desu.,あなたはきっと大丈夫です。,"きっと shows a strong expectation or confidence. This is a polite, encouraging sentence.",<img src='JPN1K-282.jpeg'>
JPN1K-283,283,受ける,"to receive, to get",受[う]ける,うける,今[いま]電話[でんわ]を受ける。,I'll take the call now.,Ima denwa o ukeru.,今電話を受ける。,"受ける can mean 'to take' a call, test, or service. This is the plain, casual form.",<img src='JPN1K-283.jpeg'>
JPN1K-284,284,ひどい,"cruel, heartless, hard, harsh, severe",ひどい,ひどい,それはひどいね。,That's harsh.,Sore wa hidoi ne.,それはひどいね。,Casual comment showing sympathy or disapproval. Often used when hearing bad news.,<img src='JPN1K-284.jpeg'>
JPN1K-285,285,言える,"to be possible to say, to be able to say",言[い]える,いえる,それは 言[い]えるね。,That's true.,Sore wa ieru ne.,それは言えるね。,Casual agreement. You say this to agree that what someone said is true.,<img src='JPN1K-285.jpeg'>
JPN1K-286,286,決める,"to decide, to choose, to determine, to make up one's mind",決[き]める,きめる,私[わたし] は 明日[あした] 決める よ。,I’ll decide tomorrow.,Watashi wa ashita kimeru yo.,私は明日決めるよ。,Casual plain form. よ adds light emphasis or assurance.,<img src='JPN1K-286.jpeg'>
JPN1K-287,287,どういう,"in what way, why, what kind of",どういう,どういう,それはどういう 意味[いみ]？,What does that mean?,Sore wa dou iu imi?,それはどういう意味？,Used to ask for clarification. Casual; add desu ka for polite: それはどういう意味ですか。,<img src='JPN1K-287.jpeg'>
JPN1K-288,288,やっぱり,I thought so! I knew it!,やっぱり,やっぱり,やっぱりそうだね。,I knew it.,Yappari sou da ne.,やっぱりそうだね。,Used when something turns out as expected. Casual.,<img src='JPN1K-288.jpeg'>
JPN1K-289,289,元,"origin, source",元[もと],もと,名前[なまえ]の 元[もと] は 何[なに]？,What is the origin of the name?,Namae no moto wa nani?,名前の元は何？,元 here means the source or origin of something. Common pattern: X の 元.,<img src='JPN1K-289.jpeg'>
JPN1K-290,290,最初,"beginning, outset, first, onset",最初[さいしょ],さいしょ,最初[さいしょ]に 何[なに]をする？,What do we do first?,Saisho ni nani o suru?,最初に何をする？,Casual. 最初に is often used to mean “first” or “to start with.”,<img src='JPN1K-290.jpeg'>
JPN1K-291,291,うつ,"to hit, to strike, to shoot (at),",うつ,うつ,ここでうつのはダメ。,It's not okay to shoot here.,Koko de utsu no wa dame.,ここでうつのはダメ。,Casual. の turns うつ into a thing: 'the act of shooting.' ダメ means 'not allowed' or 'no good.',<img src='JPN1K-291.jpeg'>
JPN1K-292,292,ドル,dollar,ドル,ドル,これは ドル ですか？,Is this in dollars?,Kore wa doru desu ka?,これはドルですか？,Polite question. Use this to ask if the price or amount is in dollars.,<img src='JPN1K-292.jpeg'>
JPN1K-293,293,犬,dog,犬[いぬ],いぬ,犬[いぬ]が 好[す]きですか。,Do you like dogs?,Inu ga suki desu ka?,犬が好きですか。,Use X ga suki desu to say you like X. This is a polite question.,<img src='JPN1K-293.jpeg'>
JPN1K-294,294,事,"thing, matter",事[こと],こと,その 事[こと]は 何[なに] です か。,What is that about?,Sono koto wa nani desu ka.,その事は何ですか。,"事 means an abstract thing or matter, like a topic or issue, not a physical object.",<img src='JPN1K-294.jpeg'>
JPN1K-295,295,男性,"man, male",男性[だんせい],だんせい,あの 男性[だんせい]は 先生[せんせい]ですか。,Is that man a teacher?,Ano dansei wa sensei desu ka?,あの男性は先生ですか。,"男性 is a polite word for an adult male. Often used in formal speech, signs, or groups.",<img src='JPN1K-295.jpeg'>
JPN1K-296,296,こそ,for sure,こそ,こそ,いや、あなたこそありがとう。,"No, thank you.","Iya, anata koso arigatou.",いや、あなたこそありがとう。,"こそ adds strong emphasis to the word before it. In replies, Xこそありがとう means “No, thank you (it’s you I should thank).”",<img src='JPN1K-296.jpeg'>
JPN1K-297,297,変,"strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy",変[へん],へん,それは ちょっと 変[へん] だよ。,That's a bit weird.,Sore wa chotto hen da yo.,それはちょっと変だよ。,変 is a na-adjective. だよ makes it casual and friendly.,<img src='JPN1K-297.jpeg'>
JPN1K-298,298,準備,"preparation, setup, arrangements, provision, reserve",準備[じゅんび],じゅんび,もう 準備[じゅんび] は いい ですか？,Are you ready yet?,Mou junbi wa ii desu ka?,もう準備はいいですか？,Polite question. もう adds the sense of “already/yet.” 準備 is about being ready or having things set.,<img src='JPN1K-298.jpeg'>
JPN1K-299,299,母,mother,母[はは],はは,私[わたし]の 母[はは]は とても 元気[げんき]です。,My mother is very well.,Watashi no haha wa totemo genki desu.,私の母はとても元気です。,"Use 母 to talk about your own mother to others. When addressing her directly, people usually say お母さん.",<img src='JPN1K-299.jpeg'>
JPN1K-300,300,番,number (in a series),番[ばん],ばん,これは 何[なん]番[ばん]ですか。,What number is this?,Kore wa nan ban desu ka.,これは何番ですか。,"Use 何 + 番 to ask for a number in a series, like platform, room, or bus number. This is polite.",<img src='JPN1K-300.jpeg'>
JPN1K-301,301,夜,"evening, night",夜[よる],よる,今[いま]はもう 夜[よる]です。,It’s already night now.,Ima wa mou yoru desu.,今はもう夜です。,"夜 is used for evening/night. もう means already, a common beginner word.",<img src='JPN1K-301.jpeg'>
JPN1K-302,302,仲間,"company, fellow, colleague, associate, comrade, mate, group, circle of friends, partner",仲間[なかま],なかま,君[きみ]も 仲間[なかま]だよ。,You’re one of us too.,Kimi mo nakama da yo.,君も仲間だよ。,Casual and friendly. 仲間 is someone in your group or team; saying 仲間だよ includes the listener.,<img src='JPN1K-302.jpeg'>
JPN1K-303,303,かしら,I wonder,かしら,かしら,ここはどこかしら。,"Where am I, I wonder.",Koko wa doko kashira.,ここはどこかしら。,Sentence-final kashira softly shows you are wondering. Casual; often used by women. Men often say kana.,<img src='JPN1K-303.jpeg'>
JPN1K-304,304,敵,"opponent, rival, adversary",敵[てき],てき,彼[かれ]は 君[きみ]の 敵[てき]だよ。,He is your opponent.,Kare wa kimi no teki da yo.,彼は君の敵だよ。,敵 can mean opponent or adversary and can sound strong. だよ is casual.,<img src='JPN1K-304.jpeg'>
JPN1K-305,305,外,"outside, exterior",外[そと],そと,今日[きょう]、 外[そと]で 一緒[いっしょ]に 食[た]べる？,Shall we eat outside together today?,"Kyou, soto de issho ni taberu?",今日、外で一緒に食べる？,外 means the outside. Use で to mark the place where the action happens. This is casual.,<img src='JPN1K-305.jpeg'>
JPN1K-306,306,昔,"olden days, former",昔[むかし],むかし,昔[むかし]は 彼[かれ]と 友達[ともだち]でした。,I used to be friends with him.,Mukashi wa kare to tomodachi deshita.,昔は彼と友達でした。,昔 sets the time as “in the past.” でした is polite past (“was”).,<img src='JPN1K-306.jpeg'>
JPN1K-307,307,感じる,"to feel, to sense, to experience",感[かん]じる,かんじる,なんか 変[へん]だと 感[かん]じる。,I feel something's off.,Nanka hen da to kanjiru.,なんか変だと感じる。,Casual. X と 感じる means “feel that X.” Often used for hunches.,<img src='JPN1K-307.jpeg'>
JPN1K-308,308,危険,"danger, peril, hazard",危険[きけん],きけん,ここはとても 危険[きけん]です。,It's very dangerous here.,Koko wa totemo kiken desu.,ここはとても危険です。,Kiken is a noun-like word used as a na-adjective. Saying “kiken desu” is a polite way to say something is dangerous.,<img src='JPN1K-308.jpeg'>
JPN1K-309,309,なんで,"why?, what for?",なんで,なんで,なんで ここ に いる の？,Why are you here?,Nande koko ni iru no?,なんでここにいるの？,なんで is casual. Use it with friends; it can sound blunt.,<img src='JPN1K-309.jpeg'>
JPN1K-310,310,怒る,"to get angry, to get mad",怒[おこ]る,おこる,なんで怒るの？,Why are you getting mad?,Nande okoru no?,なんで怒るの？,Casual question. の softens the tone.,<img src='JPN1K-310.jpeg'>
JPN1K-311,311,写真,photograph,写真[しゃしん],しゃしん,写真[しゃしん] を 見[み]せて ください。,Please show me the photo.,Shashin o misete kudasai.,写真を見せてください。,Polite request. Use te-form + kudasai to ask someone to do something.,<img src='JPN1K-311.jpeg'>
JPN1K-312,312,数,"number, amount",数[かず],かず,数[かず] は 何[なん] です か？,What is the number?,Kazu wa nan desu ka?,数は何ですか？,Polite question. In casual speech you can say: 数は何？,<img src='JPN1K-312.jpeg'>
JPN1K-313,313,連絡,"to contact, to get in touch",連絡[れんらく],れんらく,明日[あした]私[わたし]に 連絡[れんらく]くださいね。,"Please contact me tomorrow, okay?",Ashita watashi ni renraku kudasai ne.,明日私に連絡くださいね。,連絡 is a noun used like “contact.” 連絡ください is a common polite request meaning “please get in touch.”,<img src='JPN1K-313.jpeg'>
JPN1K-314,314,空,"sky, the heavens",空[そら],そら,一緒[いっしょ]に 空[そら] を 見[み]ません か。,Shall we look at the sky together?,Issho ni sora o mimasen ka.,一緒に空を見ませんか。,空 is the sky you see above you. ませんか politely invites someone to do something together.,<img src='JPN1K-314.jpeg'>
JPN1K-315,315,愛,"love, affection, care",愛[あい],あい,愛[あい] が ほしい です。,I want love.,Ai ga hoshii desu.,愛がほしいです。,Use hoshii to say you want a noun. This is a polite sentence.,<img src='JPN1K-315.jpeg'>
JPN1K-316,316,命,"life, life force",命[いのち],いのち,私[わたし]は 君[きみ]の 命[いのち]を 守[まも]る。,I will protect your life.,Watashi wa kimi no inochi o mamoru.,私は君の命を守る。,"命 is a serious word for “life” as in being alive. This is a strong, casual promise.",<img src='JPN1K-316.jpeg'>
JPN1K-317,317,確かに,"surely, certainly",確[たし]かに,たしかに,確[たし]かに、そうですね。,"Certainly, that's true.","Tashika ni, so desu ne.",確かに、そうですね。,Commonly used to agree or admit someone is right. Polite-neutral.,<img src='JPN1K-317.jpeg'>
JPN1K-318,318,ところ,"place, spot, scene, site",ところ,ところ,ここはいいところです。,This is a nice place.,Koko wa ii tokoro desu.,ここはいいところです。,"ところ is a general, polite word for a place or spot.",<img src='JPN1K-318.jpeg'>
JPN1K-319,319,くらい,"approximately, about, around, or so",くらい,くらい,友達[ともだち] が 三人[さんにん] くらい 来[く]る。,About three friends are coming.,Tomodachi ga sannin kurai kuru.,友達が三人くらい来る。,くらい after a number shows approximation. It’s casual and comes after the amount.,<img src='JPN1K-319.jpeg'>
JPN1K-320,320,大事,"important, valuable, serious matter",大事[だいじ],だいじ,命[いのち]はとても 大事[だいじ]です。,Life is very important.,Inochi wa totemo daiji desu.,命はとても大事です。,"Daiji is a na-adjective. When talking about life or people, it often feels like “precious.”",<img src='JPN1K-320.jpeg'>
JPN1K-321,321,大,"big, large",大[だい],だい,私[わたし] は 大[だい]好[す]き です。,I love it.,Watashi wa daisuki desu.,私は大好きです。,"大 works like a prefix meaning very. In 大好き, it makes suki stronger: like a lot/love.",<img src='JPN1K-321.jpeg'>
JPN1K-322,322,一番,"best, first, number one",一番[いちばん],いちばん,何[なに]が 一番好[す]き ですか。,What do you like the most?,Nani ga ichiban suki desu ka.,何が一番好きですか。,Ichiban means “the most/best.” It’s often used before adjectives or with suki to ask favorites.,<img src='JPN1K-322.jpeg'>
JPN1K-323,323,うれしい,"happy, glad, pleasant",うれしい,うれしい,今日[きょう]はとてもうれしいです。,I’m very happy today.,Kyou wa totemo ureshii desu.,今日はとてもうれしいです。,"Polite, neutral. うれしい describes your current feeling.",<img src='JPN1K-323.jpeg'>
JPN1K-324,324,急ぐ,"to hurry, to rush, to hasten, to make something happen sooner",急[いそ]ぐ,いそぐ,ごめん、 私[わたし] は 急[いそ]ぐね。,"Sorry, I have to hurry.","Gomen, watashi wa isogu ne.",ごめん、私は急ぐね。,"Casual. Using 急ぐ in plain form here means “I need to hurry now,” softened by ね.",<img src='JPN1K-324.jpeg'>
JPN1K-325,325,約束,"promise, agreement, arrangement, one's word, contract, pact, appointment, engagement, date",約束[やくそく],やくそく,約束[やくそく] は 守[まも]る よ。,I’ll keep my promise.,Yakusoku wa mamoru yo.,約束は守るよ。,A common phrase. Casual tone; よ adds friendly emphasis.,<img src='JPN1K-325.jpeg'>
JPN1K-326,326,動く,"to move, to stir, to shift, to shake, to swing",動[うご]く,うごく,これ まだ 動く の？,Does this still move?,Kore mada ugoku no?,これまだ動くの？,Casual question. まだ means still; の adds a soft tone.,<img src='JPN1K-326.jpeg'>
JPN1K-327,327,ばかり,"only, merely, nothing but, no more than",ばかり,ばかり,私[わたし]はコーヒーばかり 飲[の]みます。,I only drink coffee.,Watashi wa koohii bakari nomimasu.,私はコーヒーばかり飲みます。,ばかり after a noun means “only” or “nothing but.” It can sound like you do it too much.,<img src='JPN1K-327.jpeg'>
JPN1K-328,328,別,"distinction, difference, different, another, particular, separate, extra, exception",別[べつ],べつ,別[べつ]に もう いい よ。,I don't really mind anymore.,Betsu ni mou ii yo.,別にもういいよ。,別に often means “not particularly.” 別に いいよ is casual and means “I don’t really mind; it’s fine.”,<img src='JPN1K-328.jpeg'>
JPN1K-329,329,許す,"to permit, to allow, to approve, to tolerate",許[ゆる]す,ゆるす,もう 君[きみ]を 許[ゆる]す よ。,I forgive you now.,Mou kimi o yurusu yo.,もう君を許すよ。,"Casual/plain. 許す often means to forgive in daily talk; よ adds a friendly, assuring tone.",<img src='JPN1K-329.jpeg'>
JPN1K-330,330,水,water,水[みず],みず,水[みず] を ください。,"Water, please.",Mizu o kudasai.,水をください。,Polite request. Common when ordering at restaurants.,<img src='JPN1K-330.jpeg'>
JPN1K-331,331,選ぶ,"to choose, to select",選[えら]ぶ,えらぶ,私[わたし] は これ を 選[えら]ぶ よ。,I’ll choose this.,Watashi wa kore o erabu yo.,私はこれを選ぶよ。,Casual/plain form. Use the particle を for the thing you choose.,<img src='JPN1K-331.jpeg'>
JPN1K-332,332,とおり,"avenue, street, way, road",とおり,とおり,このとおりで 今[いま]友達[ともだち]を 待[ま]ちます。,I’ll wait for my friend on this street now.,Kono toori de ima tomodachi o machimasu.,このとおりで今友達を待ちます。,とおり can mean a street/avenue. The particle で marks the place where the action happens.,<img src='JPN1K-332.jpeg'>
JPN1K-333,333,王,"king, ruler, sovereign, monarch",王[おう],おう,王[おう]はどこにいますか？,Where is the king?,Ou wa doko ni imasu ka?,王はどこにいますか？,"Polite question form using imasu ka. 王 means king, common in stories or history.",<img src='JPN1K-333.jpeg'>
